driverId,week,hours-logged,miles-logged
759,14,61,4000
670,17,63,3700
945,34,51,3200
882,23,54,2500
980,43,78,3100
725,11,61,1100
679,43,75,700
98,39,79,3200
387,34,74,2000
232,42,80,3500
147,30,60,1600
895,31,62,1700
776,34,67,2500
362,51,73,900
641,27,68,3300
984,52,54,3700
206,23,80,700
392,14,70,2300
136,48,75,3300
42,50,71,1400
715,1,57,2800
151,34,64,1700
959,52,67,3600
304,25,67,1000
616,1,76,3800
431,31,64,2300
441,10,80,1500
216,47,78,3500
345,2,78,2400
38,17,61,1900
526,31,54,2300
515,14,79,1100
527,20,61,1900
404,42,70,3800
990,26,51,1400
611,44,76,3100
387,17,64,1200
447,41,64,1600
629,42,52,3500
69,19,54,3900
11,45,53,3500
319,52,66,2300
624,41,51,2200
581,28,72,100
876,19,51,0
495,47,64,100
606,28,52,300
411,49,78,1200
576,19,52,1800
132,4,71,3800
462,2,65,200
543,28,60,1400
611,35,59,3300
795,7,71,2200
511,31,80,1400
317,31,80,300
337,45,62,1500
782,35,75,1800
209,23,73,2800
651,11,66,1500
720,5,74,2600
433,45,71,600
320,29,60,1400
221,45,66,700
921,45,58,2000
341,37,72,3900
52,21,80,1000
734,52,55,2500
831,14,53,600
366,23,50,800
475,2,52,3300
434,25,65,2300
190,27,69,1600
105,43,74,1500
347,28,52,300
809,2,64,3300
69,11,62,3600
541,25,66,2500
157,7,79,4000
865,46,63,1200
436,5,74,800
199,27,59,3500
234,33,70,900
129,37,68,1400
820,33,50,2700
105,25,78,2500
296,4,71,2600
137,43,55,1300
364,36,78,2600
843,25,79,1600
338,9,52,1400
344,38,79,1500
698,10,76,3700
128,27,67,4000
400,46,51,800
694,51,67,2600
436,28,70,3900
579,5,58,700
337,30,50,2000
479,31,70,400
124,46,73,1000
154,34,68,100
983,32,51,900
759,14,78,700
394,43,67,100
485,12,80,1600
417,16,73,3000
32,49,60,2900
125,45,52,400
360,4,72,300
757,20,78,0
485,22,52,1500
916,38,80,2900
291,8,57,400
720,24,53,400
690,8,78,3400
666,21,75,2700
713,15,50,3300
956,9,51,2700
845,30,62,500
443,4,70,200
170,42,55,3200
927,50,65,3100
330,23,59,800
614,46,61,2000
794,41,56,600
594,27,69,3100
909,34,71,400
921,51,75,1300
371,23,79,200
544,18,77,700
382,41,60,2400
942,48,60,1700
921,48,75,2900
87,38,51,3400
849,38,57,3300
666,23,73,3900
916,1,64,3300
562,30,75,3500
756,52,69,1000
974,21,72,3100
927,8,76,3700
167,28,77,1000
148,28,63,1000
841,44,50,2000
664,33,59,3400
816,8,70,3100
414,23,58,2200
562,32,65,4000
70,46,75,1200
305,15,56,3300
972,27,54,0
763,34,78,2600
869,31,53,2600
285,49,75,2800
779,47,60,1300
35,48,50,1200
553,7,60,2800
939,18,78,1000
624,36,61,2800
78,44,71,3900
170,34,65,1900
344,48,77,400
666,6,69,4000
324,2,69,3200
531,5,60,700
535,16,76,4000
663,21,51,1400
38,39,57,3400
129,25,51,3700
685,8,55,1600
96,36,57,2600
249,36,76,2900
507,36,64,3500
39,10,62,3800
114,20,60,2300
615,40,65,1700
816,6,64,3700
24,27,64,500
1004,48,52,500
572,22,77,800
578,40,63,300
224,25,62,100
191,40,60,2200
399,43,60,2700
273,3,51,1600
743,39,76,100
818,49,70,2400
14,4,69,1800
195,49,54,500
903,44,58,1200
363,34,57,200
687,33,51,3600
389,44,78,2100
927,30,71,3100
545,41,58,3300
339,2,53,3000
864,29,70,2000
813,16,67,4000
971,23,52,2000
54,21,72,1400
903,20,61,3200
581,7,53,2700
674,34,78,300
100,16,53,300
933,15,67,100
701,39,62,3300
289,50,50,1500
537,40,66,2400
209,36,74,600
935,26,66,3200
757,49,67,300
870,8,51,1100
308,14,70,2500
542,38,60,900
486,20,59,900
541,27,59,1200
58,45,70,2700
247,50,69,1300
714,24,66,3500
725,24,67,2600
626,42,79,700
539,14,68,400
484,7,62,200
355,40,65,1700
229,26,54,3900
427,49,55,4000
455,44,66,2300
473,11,58,1900
935,11,74,3700
942,8,67,300
293,45,72,400
530,51,51,2600
369,49,59,3500
94,39,71,100
914,7,78,2700
752,10,56,1000
870,37,57,1000
273,1,52,2200
312,30,63,3100
859,17,63,3400
953,4,64,1700
847,12,51,200
260,40,66,1600
740,3,79,3500
753,20,51,2300
786,18,77,3300
495,36,56,1800
256,1,60,3500
889,31,60,1900
100,42,65,1300
434,48,58,100
594,5,68,1300
680,6,67,1300
25,32,76,3300
249,13,64,3300
818,37,70,700
994,33,76,1600
639,34,72,2300
217,48,71,1200
375,8,63,2500
678,22,70,0
179,47,55,300
672,28,58,2700
864,48,71,800
59,28,50,3700
762,48,64,3100
202,20,79,1900
111,29,79,2600
324,45,60,900
119,26,61,3500
672,29,76,3500
969,24,61,600
600,3,66,0
418,22,75,3600
495,19,58,2500
513,33,78,3400
401,4,69,1600
871,23,51,1700
58,4,74,2300
735,14,78,300
107,30,77,1700
976,52,69,100
827,15,62,1900
859,19,53,1600
124,23,57,1400
265,21,56,3800
987,32,78,3200
311,49,52,3900
446,20,72,1900
703,51,73,3900
968,4,77,3700
354,18,73,100
573,46,60,300
326,24,56,3000
782,35,76,2000
728,27,64,2800
888,8,50,200
242,1,70,1000
377,37,56,2300
373,51,50,2200
693,33,56,4000
323,30,69,400
658,33,65,2200
490,26,80,1400
634,51,71,3100
234,23,72,1100
191,12,53,3600
398,10,59,100
586,10,52,2900
652,47,69,1000
411,50,76,1500
17,37,52,3200
234,8,56,200
407,31,72,3200
